gid,__gid,region,line_name,voltage,capacity_mw,current_load_mw,length_km,no_of_ckt,condu_type,bundl_type,ntr_line,owner,status,ckt_comm_y,impl_mode,nip_id,opgw,fbr_comm_y,opgw_ckt,owner_opgw,t_fbr_opgw,fbr_pwr_ap,fbr_tel_se,sy_ps_loca,symbology,source_gid,selection_basis,inside_study_area_length_km_calculated,source_geometry_length_km_calculated,geometry_wkt
10302,20302,NR,Mock Okhla - Mayur Vihar 400 kV D/C Line 0302,400 kV,2000,1242.2,9.634,2,ACSR Moose,Twin Moose,ISTS,Mock Delhi Transmission Utility,Commissioned,2022,RTM,MOCK-NIP-00302,No,2022,,,,,,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Mayur Vihar (28.61000N, 77.30000E)",400 kV (Commissioned),10302,Synthetic geometry constrained to approximate Delhi NCT study area,9.634,9.634,"LINESTRING (77.280000 28.530000, 77.283914 28.551038, 77.303367 28.580880, 77.295794 28.597505, 77.300000 28.610000)"
10303,20303,NR,Mock Mayur Vihar - Punjabi Bagh 220 kV S/C Line 0303,220 kV,250,0.0,17.982,1,AAAC,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Construction,January 2029,TBCB,MOCK-NIP-00303,Yes,January 2029,1.0,Mock North Delhi Transmission Co.,18.0,6.0,24.0,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Under Construction),10303,Synthetic geometry constrained to approximate Delhi NCT study area,17.982,17.982,"LINESTRING (77.300000 28.610000, 77.214951 28.649224, 77.130000 28.670000)"
10304,20304,NR,Mock Pusa - Dwarka 220 kV S/C Line 0304,220 kV,350,0.0,14.789,1,ACSR Zebra,Twin,Intra-State,Mock South Delhi Transmission Co.,Under Construction,September 2025,TBCB,MOCK-NIP-00304,Yes,September 2025,1.0,Mock South Delhi Transmission Co.,18.0,4.0,24.0,"Mock coordinates: Pusa (28.64000N, 77.17000E) to Dwarka (28.59000N, 77.03000E)",220 kV (Under Construction),10304,Synthetic geometry constrained to approximate Delhi NCT study area,14.789,14.789,"LINESTRING (77.170000 28.640000, 77.083761 28.604448, 77.030000 28.590000)"
10305,20305,NR,Mock Vasant Kunj - Bamnoli 220 kV D/C Line 0305,220 kV,700,330.7,15.737,2,ACSR Moose,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2020,RTM,MOCK-NIP-00305,No,2020,,,,,,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Bamnoli (28.53000N, 77.00000E)",220 kV (Commissioned),10305,Synthetic geometry constrained to approximate Delhi NCT study area,15.737,15.737,"LINESTRING (77.160000 28.540000, 77.096787 28.542480, 77.000000 28.530000)"
10306,20306,NR,Mock Wazirabad - Vasant Kunj 220 kV S/C Line 0306,220 kV,450,291.1,19.05,1,ACSR Moose,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2023,TBCB,MOCK-NIP-00306,No,2023,,,,,,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Vasant Kunj (28.54000N, 77.16000E)",220 kV (Commissioned),10306,Synthetic geometry constrained to approximate Delhi NCT study area,19.05,19.05,"LINESTRING (77.180000 28.710000, 77.170857 28.674043, 77.163852 28.622413, 77.162204 28.574597, 77.160000 28.540000)"
10307,20307,NR,Mock Mundka - Lodhi Road 220 kV S/C Line 0307,220 kV,350,0.0,25.473,1,ACSR Zebra,Twin,Intra-State,Mock Delhi Transmission Utility,Under Bidding,September 2025,TBCB,MOCK-NIP-00307,No,September 2025,,,,,,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Under Bidding),10307,Synthetic geometry constrained to approximate Delhi NCT study area,25.473,25.473,"LINESTRING (76.980000 28.680000, 77.102255 28.635591, 77.220000 28.590000)"
10308,20308,NR,Mock Wazirabad - Bamnoli 220 kV S/C Line 0308,220 kV,400,229.8,26.639,1,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2023,TBCB,MOCK-NIP-00308,Yes,2023,1.0,Mock Delhi Transmission Utility,12.0,2.0,24.0,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Bamnoli (28.53000N, 77.00000E)",220 kV (Commissioned),10308,Synthetic geometry constrained to approximate Delhi NCT study area,26.639,26.639,"LINESTRING (77.180000 28.710000, 77.100784 28.634970, 77.000000 28.530000)"
10309,20309,NR,Mock Okhla - Badarpur 400 kV S/C Line 0309,400 kV,1200,568.8,3.887,1,AL 59 Zebra,Twin Moose,ISTS,Mock Inter-State Grid Delhi,Commissioned,2025,TBCB,MOCK-NIP-00309,No,2025,,,,,,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Badarpur (28.50000N, 77.30000E)",400 kV (Commissioned),10309,Synthetic geometry constrained to approximate Delhi NCT study area,3.887,3.887,"LINESTRING (77.280000 28.530000, 77.286258 28.517068, 77.300000 28.500000)"
10310,20310,NR,Mock Patparganj - Punjabi Bagh 220 kV S/C Line 0310,220 kV,400,0.0,16.264,1,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,June 2029,TBCB,MOCK-NIP-00310,No,June 2029,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Under Bidding),10310,Synthetic geometry constrained to approximate Delhi NCT study area,16.264,16.264,"LINESTRING (77.290000 28.630000, 77.211331 28.645053, 77.130000 28.670000)"
10311,20311,NR,Mock Badarpur - Mahipalpur 220 kV S/C Line 0311,220 kV,500,0.0,17.566,1,ACSR Moose,Single,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,September 2025,TBCB,MOCK-NIP-00311,No,September 2025,,,,,,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Mahipalpur (28.55000N, 77.13000E)",220 kV (Under Bidding),10311,Synthetic geometry constrained to approximate Delhi NCT study area,17.566,17.566,"LINESTRING (77.300000 28.500000, 77.281971 28.507963, 77.231906 28.518414, 77.169776 28.539797, 77.130000 28.550000)"
10312,20312,NR,Mock Bamnoli - Mahipalpur 400 kV D/C Line 0312,400 kV,1650,1105.3,13.349,2,AL 59 Zebra,Quad,Intra-State,Mock Inter-State Grid Delhi,Commissioned,2022,RTM,MOCK-NIP-00312,Yes,2022,2.0,Mock Inter-State Grid Delhi,18.0,2.0,24.0,"Mock coordinates: Bamnoli (28.53000N, 77.00000E) to Mahipalpur (28.55000N, 77.13000E)",400 kV (Commissioned),10312,Synthetic geometry constrained to approximate Delhi NCT study area,13.349,13.349,"LINESTRING (77.000000 28.530000, 77.019772 28.533579, 77.063269 28.553522, 77.110063 28.554566, 77.130000 28.550000)"
10313,20313,NR,Mock Mundka - Wazirabad 220 kV S/C Line 0313,220 kV,350,212.4,19.798,1,ACSR Zebra,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2022,RTM,MOCK-NIP-00313,Yes,2022,1.0,Mock Delhi Transmission Utility,12.0,6.0,24.0,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Wazirabad (28.71000N, 77.18000E)",220 kV (Commissioned),10313,Synthetic geometry constrained to approximate Delhi NCT study area,19.798,19.798,"LINESTRING (76.980000 28.680000, 77.088085 28.693781, 77.180000 28.710000)"
10314,20314,NR,Mock Dwarka - Shahdara 400 kV S/C Line 0314,400 kV,1200,783.0,26.898,1,ACSR Moose,Twin Moose,ISTS,Mock Delhi Transmission Utility,Commissioned,2023,TBCB,MOCK-NIP-00314,Yes,2023,1.0,Mock Delhi Transmission Utility,24.0,4.0,24.0,"Mock coordinates: Dwarka (28.59000N, 77.03000E) to Shahdara (28.67000N, 77.29000E)",400 kV (Commissioned),10314,Synthetic geometry constrained to approximate Delhi NCT study area,26.898,26.898,"LINESTRING (77.030000 28.590000, 77.149220 28.623597, 77.290000 28.670000)"
10315,20315,NR,Mock Vasant Kunj - Okhla 220 kV S/C Line 0315,220 kV,250,185.0,11.87,1,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2024,RTM,MOCK-NIP-00315,Yes,2024,1.0,Mock North Delhi Transmission Co.,18.0,8.0,24.0,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Okhla (28.53000N, 77.28000E)",220 kV (Commissioned),10315,Synthetic geometry constrained to approximate Delhi NCT study area,11.87,11.87,"LINESTRING (77.160000 28.540000, 77.208166 28.529341, 77.280000 28.530000)"
10316,20316,NR,Mock Badarpur - Sarita Vihar 400 kV S/C Line 0316,400 kV,850,0.0,3.625,1,ACSR Moose,Quad,ISTS,Mock Inter-State Grid Delhi,Planned,June 2028,RTM,MOCK-NIP-00316,Yes,June 2028,1.0,Mock Inter-State Grid Delhi,36.0,8.0,12.0,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Sarita Vihar (28.53000N, 77.30000E)",400 kV (Planned),10316,Synthetic geometry constrained to approximate Delhi NCT study area,3.625,3.625,"LINESTRING (77.300000 28.500000, 77.293964 28.505944, 77.300000 28.530000)"
10317,20317,NR,Mock Bamnoli - Mundka 220 kV D/C Line 0317,220 kV,1000,0.0,16.995,2,ACSR Moose,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,June 2025,TBCB,MOCK-NIP-00317,No,June 2025,,,,,,"Mock coordinates: Bamnoli (28.53000N, 77.00000E) to Mundka (28.68000N, 76.98000E)",220 kV (Under Bidding),10317,Synthetic geometry constrained to approximate Delhi NCT study area,16.995,16.995,"LINESTRING (77.000000 28.530000, 77.002999 28.608508, 76.980000 28.680000)"
10318,20318,NR,Mock Mayur Vihar - Sarita Vihar 220 kV S/C Line 0318,220 kV,350,167.6,9.23,1,ACSR Moose,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2025,RTM,MOCK-NIP-00318,Yes,2025,1.0,Mock South Delhi Transmission Co.,36.0,8.0,12.0,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Sarita Vihar (28.53000N, 77.30000E)",220 kV (Commissioned),10318,Synthetic geometry constrained to approximate Delhi NCT study area,9.23,9.23,"LINESTRING (77.300000 28.610000, 77.312448 28.563468, 77.300000 28.530000)"
10319,20319,NR,Mock Punjabi Bagh - Bamnoli 220 kV D/C Line 0319,220 kV,650,0.0,20.161,2,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,December 2025,TBCB,MOCK-NIP-00319,No,December 2025,,,,,,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Bamnoli (28.53000N, 77.00000E)",220 kV (Under Bidding),10319,Synthetic geometry constrained to approximate Delhi NCT study area,20.161,20.161,"LINESTRING (77.130000 28.670000, 77.066726 28.614217, 77.000000 28.530000)"
10320,20320,NR,Mock Mayur Vihar - Wazirabad 400 kV S/C Line 0320,400 kV,800,312.6,16.149,1,ACSR Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2018,RTM,MOCK-NIP-00320,No,2018,,,,,,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Wazirabad (28.71000N, 77.18000E)",400 kV (Commissioned),10320,Synthetic geometry constrained to approximate Delhi NCT study area,16.149,16.149,"LINESTRING (77.300000 28.610000, 77.243318 28.658887, 77.180000 28.710000)"
10321,20321,NR,Mock Mundka - Lodhi Road 220 kV S/C Line 0321,220 kV,300,243.9,25.602,1,ACSR Moose,Single,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2019,TBCB,MOCK-NIP-00321,No,2019,,,,,,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Commissioned),10321,Synthetic geometry constrained to approximate Delhi NCT study area,25.602,25.602,"LINESTRING (76.980000 28.680000, 77.022842 28.661470, 77.114517 28.639084, 77.183456 28.605859, 77.220000 28.590000)"
10322,20322,NR,Mock Ridge - Narela 400 kV S/C Line 0322,400 kV,1150,867.0,20.462,1,ACSR Moose,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2018,RTM,MOCK-NIP-00322,No,2018,,,,,,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Narela (28.85000N, 77.09000E)",400 kV (Commissioned),10322,Synthetic geometry constrained to approximate Delhi NCT study area,20.462,20.462,"LINESTRING (77.170000 28.680000, 77.134014 28.765313, 77.090000 28.850000)"
10323,20323,NR,Mock Ridge - Sarita Vihar 220 kV S/C Line 0323,220 kV,250,0.0,21.016,1,ACSR Moose,Single,Intra-State,Mock North Delhi Transmission Co.,Under Construction,March 2028,RTM,MOCK-NIP-00323,Yes,March 2028,1.0,Mock North Delhi Transmission Co.,24.0,4.0,12.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Sarita Vihar (28.53000N, 77.30000E)",220 kV (Under Construction),10323,Synthetic geometry constrained to approximate Delhi NCT study area,21.016,21.016,"LINESTRING (77.170000 28.680000, 77.239508 28.611353, 77.300000 28.530000)"
10324,20324,NR,Mock Narela - Rohini 400 kV S/C Line 0324,400 kV,1050,590.5,12.404,1,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2025,TBCB,MOCK-NIP-00324,No,2025,,,,,,"Mock coordinates: Narela (28.85000N, 77.09000E) to Rohini (28.74000N, 77.11000E)",400 kV (Commissioned),10324,Synthetic geometry constrained to approximate Delhi NCT study area,12.404,12.404,"LINESTRING (77.090000 28.850000, 77.105342 28.784320, 77.110000 28.740000)"
10325,20325,NR,Mock Pusa - Patparganj 220 kV D/C Line 0325,220 kV,1000,0.0,11.917,2,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Under Bidding,December 2025,TBCB,MOCK-NIP-00325,Yes,December 2025,2.0,Mock Delhi Transmission Utility,36.0,6.0,12.0,"Mock coordinates: Pusa (28.64000N, 77.17000E) to Patparganj (28.63000N, 77.29000E)",220 kV (Under Bidding),10325,Synthetic geometry constrained to approximate Delhi NCT study area,11.917,11.917,"LINESTRING (77.170000 28.640000, 77.225850 28.626772, 77.290000 28.630000)"
10326,20326,NR,Mock Ridge - Mayur Vihar 220 kV D/C Line 0326,220 kV,950,442.3,14.901,2,AAAC,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2022,RTM,MOCK-NIP-00326,Yes,2022,2.0,Mock Delhi Transmission Utility,12.0,6.0,24.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Mayur Vihar (28.61000N, 77.30000E)",220 kV (Commissioned),10326,Synthetic geometry constrained to approximate Delhi NCT study area,14.901,14.901,"LINESTRING (77.170000 28.680000, 77.251623 28.632402, 77.300000 28.610000)"
10327,20327,NR,Mock Narela - Punjabi Bagh 220 kV D/C Line 0327,220 kV,800,0.0,20.392,2,AAAC,Single,Intra-State,Mock North Delhi Transmission Co.,Planned,June 2029,TBCB,MOCK-NIP-00327,Yes,June 2029,2.0,Mock North Delhi Transmission Co.,12.0,8.0,24.0,"Mock coordinates: Narela (28.85000N, 77.09000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Planned),10327,Synthetic geometry constrained to approximate Delhi NCT study area,20.392,20.392,"LINESTRING (77.090000 28.850000, 77.108345 28.772182, 77.130000 28.670000)"
10328,20328,NR,Mock Najafgarh - Pusa 400 kV D/C Line 0328,400 kV,2150,1195.1,19.222,2,ACSR Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2022,RTM,MOCK-NIP-00328,No,2022,,,,,,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Pusa (28.64000N, 77.17000E)",400 kV (Commissioned),10328,Synthetic geometry constrained to approximate Delhi NCT study area,19.222,19.222,"LINESTRING (76.980000 28.610000, 77.058858 28.639711, 77.170000 28.640000)"
10329,20329,NR,Mock Mahipalpur - Rohini 400 kV D/C Line 0329,400 kV,1600,1069.9,21.289,2,ACSR Zebra,Twin Moose,ISTS,Mock Delhi Transmission Utility,Commissioned,2018,TBCB,MOCK-NIP-00329,No,2018,,,,,,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Rohini (28.74000N, 77.11000E)",400 kV (Commissioned),10329,Synthetic geometry constrained to approximate Delhi NCT study area,21.289,21.289,"LINESTRING (77.130000 28.550000, 77.128691 28.648115, 77.110000 28.740000)"
10330,20330,NR,Mock Rohini - Najafgarh 400 kV D/C Line 0330,400 kV,1400,0.0,19.252,2,ACSR Moose,Twin Moose,ISTS,Mock Delhi Transmission Utility,Under Bidding,June 2029,TBCB,MOCK-NIP-00330,No,June 2029,,,,,,"Mock coordinates: Rohini (28.74000N, 77.11000E) to Najafgarh (28.61000N, 76.98000E)",400 kV (Under Bidding),10330,Synthetic geometry constrained to approximate Delhi NCT study area,19.252,19.252,"LINESTRING (77.110000 28.740000, 77.048440 28.684652, 76.980000 28.610000)"
10331,20331,NR,Mock Mahipalpur - Najafgarh 220 kV S/C Line 0331,220 kV,250,180.6,16.169,1,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2018,TBCB,MOCK-NIP-00331,No,2018,,,,,,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Najafgarh (28.61000N, 76.98000E)",220 kV (Commissioned),10331,Synthetic geometry constrained to approximate Delhi NCT study area,16.169,16.169,"LINESTRING (77.130000 28.550000, 77.038891 28.578920, 76.980000 28.610000)"
10332,20332,NR,Mock Vasant Kunj - Pusa 765 kV S/C Line 0332,765 kV,2150,0.0,11.186,1,ACSR / AAAC / AL59,Hexa,Intra-State,Mock Powergrid Delhi,Planned,June 2027,TBCB,MOCK-NIP-00332,No,June 2027,,,,,,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Pusa (28.64000N, 77.17000E)",765 kV (Planned),10332,Synthetic geometry constrained to approximate Delhi NCT study area,11.186,11.186,"LINESTRING (77.160000 28.540000, 77.160752 28.584471, 77.170000 28.640000)"
10333,20333,NR,Mock Mahipalpur - Mayur Vihar 765 kV D/C Line 0333,765 kV,4050,2971.9,17.954,2,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2023,RTM,MOCK-NIP-00333,Yes,2023,2.0,Mock Inter-State Grid Delhi,24.0,6.0,12.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Mayur Vihar (28.61000N, 77.30000E)",765 kV (Commissioned),10333,Synthetic geometry constrained to approximate Delhi NCT study area,17.954,17.954,"LINESTRING (77.130000 28.550000, 77.161323 28.565587, 77.213600 28.585259, 77.269999 28.603473, 77.300000 28.610000)"
10334,20334,NR,Mock Bawana - Narela 400 kV S/C Line 0334,400 kV,1100,0.0,7.226,1,ACSR Zebra,Twin Moose,Intra-State,Mock Delhi Transmission Utility,Planned,March 2029,RTM,MOCK-NIP-00334,Yes,March 2029,1.0,Mock Delhi Transmission Utility,18.0,6.0,18.0,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Narela (28.85000N, 77.09000E)",400 kV (Planned),10334,Synthetic geometry constrained to approximate Delhi NCT study area,7.226,7.226,"LINESTRING (77.050000 28.800000, 77.074298 28.811706, 77.090000 28.850000)"
10335,20335,NR,Mock Patparganj - Lodhi Road 220 kV D/C Line 0335,220 kV,850,0.0,8.211,2,ACSR Moose,Twin,Intra-State,Mock South Delhi Transmission Co.,Under Construction,September 2025,TBCB,MOCK-NIP-00335,Yes,September 2025,2.0,Mock South Delhi Transmission Co.,36.0,6.0,12.0,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Under Construction),10335,Synthetic geometry constrained to approximate Delhi NCT study area,8.211,8.211,"LINESTRING (77.290000 28.630000, 77.270703 28.614163, 77.220000 28.590000)"
10336,20336,NR,Mock Mahipalpur - Badarpur 220 kV D/C Line 0336,220 kV,500,312.6,17.853,2,ACSR Zebra,Single,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2019,RTM,MOCK-NIP-00336,Yes,2019,2.0,Mock North Delhi Transmission Co.,36.0,6.0,12.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Badarpur (28.50000N, 77.30000E)",220 kV (Commissioned),10336,Synthetic geometry constrained to approximate Delhi NCT study area,17.853,17.853,"LINESTRING (77.130000 28.550000, 77.203405 28.512082, 77.300000 28.500000)"
10337,20337,NR,Mock Bawana - Rohini 220 kV D/C Line 0337,220 kV,550,319.5,8.975,2,ACSR Moose,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2023,RTM,MOCK-NIP-00337,No,2023,,,,,,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Rohini (28.74000N, 77.11000E)",220 kV (Commissioned),10337,Synthetic geometry constrained to approximate Delhi NCT study area,8.975,8.975,"LINESTRING (77.050000 28.800000, 77.064535 28.776826, 77.110000 28.740000)"
10338,20338,NR,Mock Sarita Vihar - Lodhi Road 220 kV D/C Line 0338,220 kV,850,0.0,10.355,2,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Under Bidding,December 2029,RTM,MOCK-NIP-00338,Yes,December 2029,2.0,Mock Delhi Transmission Utility,24.0,6.0,24.0,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Under Bidding),10338,Synthetic geometry constrained to approximate Delhi NCT study area,10.355,10.355,"LINESTRING (77.300000 28.530000, 77.242133 28.566228, 77.220000 28.590000)"
10339,20339,NR,Mock Vasant Kunj - Mayur Vihar 220 kV D/C Line 0339,220 kV,1000,613.7,16.344,2,AAAC,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2024,TBCB,MOCK-NIP-00339,No,2024,,,,,,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Mayur Vihar (28.61000N, 77.30000E)",220 kV (Commissioned),10339,Synthetic geometry constrained to approximate Delhi NCT study area,16.344,16.344,"LINESTRING (77.160000 28.540000, 77.213987 28.589910, 77.300000 28.610000)"
10340,20340,NR,Mock Dwarka - Sarita Vihar 220 kV S/C Line 0340,220 kV,450,0.0,27.353,1,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,March 2029,RTM,MOCK-NIP-00340,Yes,March 2029,1.0,Mock North Delhi Transmission Co.,36.0,8.0,12.0,"Mock coordinates: Dwarka (28.59000N, 77.03000E) to Sarita Vihar (28.53000N, 77.30000E)",220 kV (Under Bidding),10340,Synthetic geometry constrained to approximate Delhi NCT study area,27.353,27.353,"LINESTRING (77.030000 28.590000, 77.172052 28.571894, 77.300000 28.530000)"
10341,20341,NR,Mock Pusa - Vasant Kunj 765 kV S/C Line 0341,765 kV,2750,1428.9,11.166,1,ACSR / AAAC / AL59,Quad,Intra-State,Mock Inter-State Grid Delhi,Commissioned,2021,TBCB,MOCK-NIP-00341,No,2021,,,,,,"Mock coordinates: Pusa (28.64000N, 77.17000E) to Vasant Kunj (28.54000N, 77.16000E)",765 kV (Commissioned),10341,Synthetic geometry constrained to approximate Delhi NCT study area,11.166,11.166,"LINESTRING (77.170000 28.640000, 77.164989 28.603949, 77.160000 28.540000)"
10342,20342,NR,Mock Lodhi Road - Pusa 400 kV S/C Line 0342,400 kV,1050,0.0,8.388,1,ACSR Zebra,Twin Moose,ISTS,Mock Delhi Transmission Utility,Planned,January 2029,RTM,MOCK-NIP-00342,No,January 2029,,,,,,"Mock coordinates: Lodhi Road (28.59000N, 77.22000E) to Pusa (28.64000N, 77.17000E)",400 kV (Planned),10342,Synthetic geometry constrained to approximate Delhi NCT study area,8.388,8.388,"LINESTRING (77.220000 28.590000, 77.210843 28.626106, 77.170000 28.640000)"
10343,20343,NR,Mock Mundka - Narela 400 kV D/C Line 0343,400 kV,2350,0.0,21.738,2,ACSR Moose,Twin Moose,ISTS,Mock Delhi Transmission Utility,Under Construction,September 2026,RTM,MOCK-NIP-00343,Yes,September 2026,2.0,Mock Delhi Transmission Utility,36.0,6.0,12.0,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Narela (28.85000N, 77.09000E)",400 kV (Under Construction),10343,Synthetic geometry constrained to approximate Delhi NCT study area,21.738,21.738,"LINESTRING (76.980000 28.680000, 77.023201 28.751499, 77.090000 28.850000)"
10344,20344,NR,Mock Ridge - Pusa 400 kV S/C Line 0344,400 kV,1100,624.5,5.265,1,ACSR Moose,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2020,TBCB,MOCK-NIP-00344,Yes,2020,1.0,Mock Delhi Transmission Utility,12.0,4.0,12.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Pusa (28.64000N, 77.17000E)",400 kV (Commissioned),10344,Synthetic geometry constrained to approximate Delhi NCT study area,5.265,5.265,"LINESTRING (77.170000 28.680000, 77.156944 28.670093, 77.170000 28.640000)"
10345,20345,NR,Mock Punjabi Bagh - Sarita Vihar 220 kV S/C Line 0345,220 kV,450,0.0,22.779,1,AAAC,Single,Intra-State,Mock South Delhi Transmission Co.,Planned,March 2026,TBCB,MOCK-NIP-00345,Yes,March 2026,1.0,Mock South Delhi Transmission Co.,18.0,6.0,24.0,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Sarita Vihar (28.53000N, 77.30000E)",220 kV (Planned),10345,Synthetic geometry constrained to approximate Delhi NCT study area,22.779,22.779,"LINESTRING (77.130000 28.670000, 77.224996 28.585469, 77.300000 28.530000)"
10346,20346,NR,Mock Patparganj - Badarpur 220 kV D/C Line 0346,220 kV,850,0.0,14.625,2,AAAC,Twin,Intra-State,Mock Delhi Transmission Utility,Under Construction,March 2026,TBCB,MOCK-NIP-00346,Yes,March 2026,2.0,Mock Delhi Transmission Utility,12.0,2.0,24.0,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Badarpur (28.50000N, 77.30000E)",220 kV (Under Construction),10346,Synthetic geometry constrained to approximate Delhi NCT study area,14.625,14.625,"LINESTRING (77.290000 28.630000, 77.285613 28.555236, 77.300000 28.500000)"
10347,20347,NR,Mock Badarpur - Lodhi Road 220 kV S/C Line 0347,220 kV,300,212.2,12.697,1,AAAC,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2018,TBCB,MOCK-NIP-00347,No,2018,,,,,,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Commissioned),10347,Synthetic geometry constrained to approximate Delhi NCT study area,12.697,12.697,"LINESTRING (77.300000 28.500000, 77.260271 28.543926, 77.220000 28.590000)"
10348,20348,NR,Mock Badarpur - Sarita Vihar 400 kV D/C Line 0348,400 kV,2150,1242.8,4.02,2,ACSR Zebra,Twin Moose,ISTS,Mock Delhi Transmission Utility,Commissioned,2019,RTM,MOCK-NIP-00348,Yes,2019,2.0,Mock Delhi Transmission Utility,18.0,8.0,24.0,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Sarita Vihar (28.53000N, 77.30000E)",400 kV (Commissioned),10348,Synthetic geometry constrained to approximate Delhi NCT study area,4.02,4.02,"LINESTRING (77.300000 28.500000, 77.289545 28.507541, 77.300000 28.530000)"
10349,20349,NR,Mock Ridge - Okhla 220 kV S/C Line 0349,220 kV,300,224.9,19.841,1,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2019,RTM,MOCK-NIP-00349,No,2019,,,,,,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Okhla (28.53000N, 77.28000E)",220 kV (Commissioned),10349,Synthetic geometry constrained to approximate Delhi NCT study area,19.841,19.841,"LINESTRING (77.170000 28.680000, 77.222086 28.612413, 77.280000 28.530000)"
